,0
2020-05-16 10:39:52.133410,10000.0
2020-05-17 10:39:52.133410,10000.0
2020-05-18 10:39:52.133410,10000.0
2020-05-19 10:39:52.133410,10000.0
2020-05-20 10:39:52.133410,10000.0
2020-05-21 10:39:52.133410,10000.0
2020-05-22 10:39:52.133410,10000.0
2020-05-23 10:39:52.133410,10000.0
2020-05-24 10:39:52.133410,10000.0
2020-05-25 10:39:52.133410,10000.0
2020-05-26 10:39:52.133410,10000.0
2020-05-27 10:39:52.133410,10000.0
2020-05-28 10:39:52.133410,10000.0
2020-05-29 10:39:52.133410,10000.0
2020-05-30 10:39:52.133410,10000.0
2020-05-31 10:39:52.133410,10000.0
2020-06-01 10:39:52.133410,10000.0
2020-06-02 10:39:52.133410,10000.0
2020-06-03 10:39:52.133410,10000.0
2020-06-04 10:39:52.133410,10000.0
2020-06-05 10:39:52.133410,10000.0
2020-06-06 10:39:52.133410,10000.0
2020-06-07 10:39:52.133410,10000.0
2020-06-08 10:39:52.133410,10000.0
2020-06-09 10:39:52.133410,10000.0
2020-06-10 10:39:52.133410,10000.0
2020-06-11 10:39:52.133410,10000.0
2020-06-12 10:39:52.133410,10000.0
2020-06-13 10:39:52.133410,10000.0
2020-06-14 10:39:52.133410,10000.0
2020-06-15 10:39:52.133410,10000.0
2020-06-16 10:39:52.133410,10000.0
2020-06-17 10:39:52.133410,10000.0
2020-06-18 10:39:52.133410,10000.0
2020-06-19 10:39:52.133410,10000.0
2020-06-20 10:39:52.133410,10000.0
2020-06-21 10:39:52.133410,10000.0
2020-06-22 10:39:52.133410,10000.0
2020-06-23 10:39:52.133410,10000.0
2020-06-24 10:39:52.133410,10000.0
2020-06-25 10:39:52.133410,10000.0
2020-06-26 10:39:52.133410,10000.0
2020-06-27 10:39:52.133410,10000.0
2020-06-28 10:39:52.133410,10000.0
2020-06-29 10:39:52.133410,10000.0
2020-06-30 10:39:52.133410,10000.0
2020-07-01 10:39:52.133410,10000.0
2020-07-02 10:39:52.133410,10000.0
2020-07-03 10:39:52.133410,10000.0
2020-07-04 10:39:52.133410,10000.0
2020-07-05 10:39:52.133410,10000.0
2020-07-06 10:39:52.133410,10000.0
2020-07-07 10:39:52.133410,10000.0
2020-07-08 10:39:52.133410,10000.0
2020-07-09 10:39:52.133410,10000.0
2020-07-10 10:39:52.133410,10000.0
2020-07-11 10:39:52.133410,10000.0
2020-07-12 10:39:52.133410,10000.0
2020-07-13 10:39:52.133410,10000.0
2020-07-14 10:39:52.133410,10000.0
2020-07-15 10:39:52.133410,10000.0
2020-07-16 10:39:52.133410,10000.0
2020-07-17 10:39:52.133410,10000.0
2020-07-18 10:39:52.133410,10000.0
2020-07-19 10:39:52.133410,10000.0
2020-07-20 10:39:52.133410,10000.0
2020-07-21 10:39:52.133410,10000.0
2020-07-22 10:39:52.133410,10000.0
2020-07-23 10:39:52.133410,10000.0
2020-07-24 10:39:52.133410,10000.0
2020-07-25 10:39:52.133410,10000.0
2020-07-26 10:39:52.133410,10000.0
2020-07-27 10:39:52.133410,10000.0
2020-07-28 10:39:52.133410,10000.0
2020-07-29 10:39:52.133410,10000.0
2020-07-30 10:39:52.133410,10000.0
2020-07-31 10:39:52.133410,10000.0
2020-08-01 10:39:52.133410,10000.0
2020-08-02 10:39:52.133410,10000.0
2020-08-03 10:39:52.133410,10000.0
2020-08-04 10:39:52.133410,10000.0
2020-08-05 10:39:52.133410,10000.0
2020-08-06 10:39:52.133410,10000.0
2020-08-07 10:39:52.133410,10000.0
2020-08-08 10:39:52.133410,10000.0
2020-08-09 10:39:52.133410,10000.0
2020-08-10 10:39:52.133410,10000.0
2020-08-11 10:39:52.133410,10000.0
2020-08-12 10:39:52.133410,10000.0
2020-08-13 10:39:52.133410,10000.0
2020-08-14 10:39:52.133410,10000.0
2020-08-15 10:39:52.133410,10000.0
2020-08-16 10:39:52.133410,10000.0
2020-08-17 10:39:52.133410,10000.0
2020-08-18 10:39:52.133410,10000.0
2020-08-19 10:39:52.133410,10000.0
2020-08-20 10:39:52.133410,10000.0
2020-08-21 10:39:52.133410,10000.0
2020-08-22 10:39:52.133410,10000.0
2020-08-23 10:39:52.133410,10000.0
2020-08-24 10:39:52.133410,10000.0
2020-08-25 10:39:52.133410,10000.0
2020-08-26 10:39:52.133410,10000.0
2020-08-27 10:39:52.133410,10000.0
2020-08-28 10:39:52.133410,10000.0
2020-08-29 10:39:52.133410,10000.0
2020-08-30 10:39:52.133410,10000.0
2020-08-31 10:39:52.133410,10000.0
2020-09-01 10:39:52.133410,10000.0
2020-09-02 10:39:52.133410,10000.0
2020-09-03 10:39:52.133410,10000.0
2020-09-04 10:39:52.133410,10000.0
2020-09-05 10:39:52.133410,10000.0
2020-09-06 10:39:52.133410,10000.0
2020-09-07 10:39:52.133410,10000.0
2020-09-08 10:39:52.133410,10000.0
2020-09-09 10:39:52.133410,10000.0
2020-09-10 10:39:52.133410,10000.0
2020-09-11 10:39:52.133410,10000.0
2020-09-12 10:39:52.133410,10000.0
2020-09-13 10:39:52.133410,10000.0
2020-09-14 10:39:52.133410,10000.0
2020-09-15 10:39:52.133410,10000.0
2020-09-16 10:39:52.133410,10000.0
2020-09-17 10:39:52.133410,10000.0
2020-09-18 10:39:52.133410,7536.727399945776
2020-09-19 10:39:52.133410,7541.674822436961
2020-09-20 10:39:52.133410,7530.981440966056
2020-09-21 10:39:52.133410,7557.277560309562
2020-09-22 10:39:52.133410,7515.420621116251
2020-09-23 10:39:52.133410,7535.909665067423
